uid,species,latitude,longitude
2460,Grevillea,0.0196635,37.702305
2298,Grevillea,0.0197284,37.7024739
2550,Grevillea,0.0197509,37.7022006
2297,Grevillea,0.0198221,37.7024902
2121,Grevillea,0.0198228,37.7022554
2300,Grevillea,0.019936,37.7023309
2299,Grevillea,0.0199573,37.7023703
2122,Grevillea,0.0199599,37.7022007
2551,Grevillea,0.0199672,37.7022867
2123,Grevillea,0.0199951,37.7021623
2301,Grevillea,0.0200049,37.702228
1631,Eucalyptus,0.0200055,37.7021946
2124,Grevillea,0.0200922,37.7021331
2302,Grevillea,0.0201416,37.7021847
2125,Grevillea,0.0201466,37.7021033
2303,Grevillea,0.020192,37.7021116
2304,Grevillea,0.0202734,37.7020901
3764,Grevillea,0.0380898,34.5672045
3770,Grevillea,0.0381144,34.5670934
3766,Grevillea,0.0382043,34.5671276
3761,Eucalyptus,0.0382221,34.5672647
3741,Musa,0.0382759,34.5671941
3745,Eucalyptus,0.0382761,34.5671133
3755,Eucalyptus,0.0382979,34.5671289
3747,Eucalyptus,0.0383219,34.5674533
3750,Grevillea,0.0383395,34.5670677
3763,Musa,0.0383412,34.5671913
3759,Grevillea,0.038366,34.5669041
3760,Musa,0.0383688,34.5670937
3728,Grevillea,0.0383833,34.5670283
3736,Musa,0.0383915,34.5670921
3732,Grevillea,0.0384558,34.5671544
3730,Musa,0.0385118,34.56701
3754,Eucalyptus,0.0385275,34.5669427
3739,Grevillea,0.0385419,34.5669721
3729,Grevillea,0.0385707,34.5668985
3735,Musa,0.0385733,34.5670333
3743,Grevillea,0.03858,34.5671517
3731,Musa,0.0385917,34.5670333
3753,Eucalyptus,0.0385974,34.5671428
3765,Eucalyptus,0.0386337,34.5671418
3762,Eucalyptus,0.0386608,34.5672529
3751,Eucalyptus,0.0387042,34.5669328
3772,Grevillea,0.0387132,34.5673704
3773,Eucalyptus,0.038715,34.5673017
3777,Eucalyptus,0.0387233,34.5673817
3740,Eucalyptus,0.0387317,34.5671067
