uid,species,latitude,longitude,EVI,NDVI,SAVI
3398,Eucalyptus,-0.5569065,34.6425715,1.9720539647577093,0.7804412966494143,1.1705025194062373
3391,Eucalyptus,-0.5569028,34.6424707,1.9720539647577093,0.7804412966494143,1.1705025194062373
3396,Eucalyptus,-0.5569025,34.6426241,1.9720539647577093,0.7804412966494143,1.1705025194062373
3393,Eucalyptus,-0.5569017,34.64247,1.9720539647577093,0.7804412966494143,1.1705025194062373
3377,Eucalyptus,-0.5568993,34.6423076,1.8516966904063679,0.7445255474452555,1.1166315789473684
3397,Eucalyptus,-0.5568873,34.6425111,1.9720539647577093,0.7804412966494143,1.1705025194062373
3385,Grevillea,-0.5568815,34.6427041,1.9720539647577093,0.7804412966494143,1.1705025194062373
3389,Eucalyptus,-0.5568706,34.6427013,1.9720539647577093,0.7804412966494143,1.1705025194062373
3399,Eucalyptus,-0.5568336,34.6425336,1.9720539647577093,0.7804412966494143,1.1705025194062373
3454,Acacia,-0.5568177,34.3429297,1.343545556087442,0.47570621468926555,0.7134585510521112
3467,Acacia,-0.5567969,34.3430567,1.9206477732793523,0.6947861745752782,1.0420266510470055
3380,Grevillea,-0.5567935,34.6426282,1.9720539647577093,0.7804412966494143,1.1705025194062373
3471,Grevillea,-0.5567916,34.3430586,1.9206477732793523,0.6947861745752782,1.0420266510470055
3461,Acacia,-0.5567833,34.3432467,1.9206477732793523,0.6947861745752782,1.0420266510470055
3456,Acacia,-0.5567697,34.3431024,1.3243094933235777,0.5362962962962963,0.8042955008331791
3374,Eucalyptus,-0.5567249,34.6426209,0.9473560792589987,0.49938195302843014,0.7489572068592616
3459,Acacia,-0.5566047,34.3429713,1.4872685185185186,0.4735872235872236,0.7102717641639797
3465,Acacia,-0.55656,34.3434633,1.4611260053619302,0.582442748091603,0.8734974241556955
3455,Acacia,-0.5565234,34.3428295,1.4872685185185186,0.4735872235872236,0.7102717641639797
3458,Acacia,-0.5562666,34.3427868,1.871321124918247,0.6583261432269197,0.9873472322070453
3474,Acacia,-0.5562316,34.3433413,1.6707616707616708,0.6286594761171033,0.9428076256499133
3472,Acacia,-0.5560249,34.3431039,1.2124395881487708,0.4919011082693947,0.7376944385254635
2242,Grevillea,-0.5512545,37.6379096,0.8435201211596711,0.48006772356472216,0.7199907663896584
2241,Grevillea,-0.5511973,37.6383464,0.9297560975609755,0.5048560833480488,0.7571504237288136
2136,Grevillea,-0.5511467,37.6382449,0.9297560975609755,0.5048560833480488,0.7571504237288136
1409,Musa,-0.5510946,37.6380481,0.8660320408637102,0.4996651038178165,0.7493721747865394
2563,Grevillea,-0.5510484,37.6382536,0.9241999784505981,0.5183562471672458,0.7774169184290031
2234,Grevillea,-0.5510312,37.6383682,0.9241999784505981,0.5183562471672458,0.7774169184290031
2562,Grevillea,-0.5510079,37.6382717,0.9241999784505981,0.5183562471672458,0.7774169184290031
2561,Grevillea,-0.5509734,37.6381891,0.9241999784505981,0.5183562471672458,0.7774169184290031
2313,Grevillea,-0.5509411,37.6382953,0.9241999784505981,0.5183562471672458,0.7774169184290031
2477,Grevillea,-0.5508897,37.6379224,0.8660320408637102,0.4996651038178165,0.7493721747865394
2133,Grevillea,-0.5508373,37.6383886,0.8141305451223225,0.4850317508315694,0.727437641723356
2134,Grevillea,-0.5508326,37.638231,0.8141305451223225,0.4850317508315694,0.727437641723356
2135,Grevillea,-0.5508058,37.6381387,0.7453690091149662,0.4529481834425253,0.6793211255024565
1376,Musa,-0.5507108,37.6379731,0.7453690091149662,0.4529481834425253,0.6793211255024565
2476,Grevillea,-0.5506866,37.6379627,0.7453690091149662,0.4529481834425253,0.6793211255024565
2314,Grevillea,-0.5506662,37.6381175,0.7453690091149662,0.4529481834425253,0.6793211255024565
2315,Grevillea,-0.5506513,37.6378418,0.8102688657930411,0.47071369975389665,0.7059547244094488
2474,Grevillea,-0.5506,37.638095,0.7453690091149662,0.4529481834425253,0.6793211255024565
2475,Grevillea,-0.5505963,37.6381602,0.8141305451223225,0.4850317508315694,0.727437641723356
2253,Grevillea,-0.5504467,37.3987383,0.7806039343440672,0.44787922358015814,0.6716981132075472
2252,Grevillea,-0.5503615,37.3988622,0.7165327790573562,0.42794833081697703,0.6418148272391815
2251,Grevillea,-0.5503441,37.3989239,0.7165327790573562,0.42794833081697703,0.6418148272391815
1354,Musa,-0.5503268,37.3987214,0.7806039343440672,0.44787922358015814,0.6716981132075472
1415,Musa,-0.5503029,37.3989149,0.95478231635569,0.5083532219570406,0.7624161073825504
1414,Musa,-0.5502972,37.3989717,0.95478231635569,0.5083532219570406,0.7624161073825504
2321,Grevillea,-0.5502748,37.3989978,0.95478231635569,0.5083532219570406,0.7624161073825504
2250,Grevillea,-0.5502733,37.39905,0.95478231635569,0.5083532219570406,0.7624161073825504
